NAME,NAME,PHONE NO.,website,add,TAGS
Tailwater Lodge,Ms. Chris Tucciarone , (855) 895-6343,www.walodge.com,52 Pulaski St.,"Hotels & Motels, Banquets & Conference..."
Taitem Engineering PC,Mr. Lou Vogel , (607) 277-1118,www.thompsonandjohnson.com,110 S. Albany St.,"Engineers Consulting, Energy Services"
Taylor Rental Center,Mr. Erich Schmidtmann , (315) 446-7101,http://therightcleaning.com/about-us.html,3131 Erie Blvd E.,Rental Services
TDO – TRAIN.DEVELOP.OPTIMIZE (formerly CNY Technology Dev Org),Ms. Clara Scherfner , (315) 425-5144,www.tomanellidwi.com,"445 Electronics Pkwy., Ste. 102","Technology Development Con..., Business Consultants, Manufacturers Consultants, Management Consultants/Ser..."
TERACAI,Mr. Peter  E. Belyea , (315) 883-3500,www.tonybairdelectronics.com,217 Lawrence Rd. E.,"Computer Networks, Computers-System Designers..., Telephone Equipment &..."
"Tesla, Inc.",Ms. Kate Burson , (610) 597-4587,www.tullylegal.com,160 Vanbrunt,"Automobile Dealers, Energy Services, Energy Conservation Produc..."
The Alvina Group,Ms. Kristin Mannion , (929) 344-2928,www.turningstone.com,"201 E. Jefferson St., Ste. 200",Business Services
The Law Firm of Frank W. Miller,Mr. Frank  W. Miller , (315) 234-9900,www.unifirst.com,6575 Kirkville Rd.,Legal Services
The Lodge at Welch Allyn,Mr. William Ballard , (315) 291-3700,www.ups.com,4355 State Street Rd.,Banquets & Conference...
The Murdock Group,Mr. Denny Murdock , (815) 378-6926,www.vikingcleaningservice.com,800 Arcane Cir.,Marketing Consultants
"Thompson & Johnson Equipment Co., Inc.",Mr. David  K. Schneckenburger , (315) 437-2881,www.vipstructures.com,6926 Fly Rd.,"Material Handling Equipmen..., Construction Equipment..., Forklifts, Rental Services"
Tier One Building Services,Mr. Robb Bidwell , (315) 487-1175,www.vipstructures.com,127 W. Fayette St.,Janitorial Services
Time Warner Security,Mr. Kevin McCarthy , (315) 432-0373,www.vosssigns.com,6005 Fair Lakes Rd.,Security Systems Services...
"Tom Anelli & Associates, PC",Mr. Tom Anelli , (315) 200-1111,www.wexenergy.com,272 W. Jefferson St.,Legal Services
"Tony Baird Electronics, Inc.",Mr. Dan Strumlok , (315) 422-4430,www.wilcoxusa.com,461 E. Brighton Ave.,Audio-Visual Equipment...
Tully Rinckey PLLC,Mr. Gerald Raymond , (315) 492-4700,www.wisecenter.org ,"507 Plum St., Ste. 103",Legal Services
Turning Stone Resort Casino LLC,Mr. Joseph Cavano , (800) 771-7711,Board of Directors,Oneida Nation Enterprises,"Hotels & Motels, Conference Services &..."
U-Cut Enterprises,Mr. Brigham Booher , (315) 492-9316,Staff Directory,4800 Solvay Rd.,Sharpening Services
UniFirst Corporation,Mr Dan Patane , (315) 472-6247,Partners & Programs,103 Luther Ave.,Uniforms Rental
UPS,Mr. Mike Ferony , (315) 433-1615,Careers,6975 Northern Blvd.,Delivery Service
"Viking Cleaning Service, Inc",Mr. Thomas Grajko , (315) 662-3705,Contact,3071 Irish Hill Rd.,Janitorial Services
VIP Architectural Associates,"Ms. Katherine Hoeft, AIA ", (315) 471-5338,Business & Economic Development,One Webster's Landing,"Architects, Construction Management"
VIP Structures,Ms. Meghan S.N. Tidd , (315) 471-5338,Innovation & Entrepreneurship,One Webster's Landing,"Construction Design &..., Construction Commercial..., Architects, Real Estate Development..., Construction Management"
"Voss Signs, LLC",Mr. Thomas  J. Tenerovicz , (315) 682-6418,Economic Inclusion,112 Fairgrounds Dr.,Signs
Wainwright Photography,Mr. Charles Wainwright , (315) 374-8069,"Research, Policy & Planning",PO Box 586,Photographers
WexEnergy LLC,Ms. Rachel Rosen , (585) 213-5101,Start Your Business,"260 E. Main St., Ste. 6402",Energy Conservation Produc...
Wilcox Paper Company,Mr. David Sparks , (315) 437-1496,Grow Your Business,5916 Court Street Rd.,"Janitorial Supplies, Packaging Supplies"
WISE Women's Business Center,Ms. Joanne Lenweaver , (315) 443-8634,Bring Your Business Here,100 Madison St.,Business Development/Servi...
